drop_ratio,edge_util_std,frac_hot_switches,frac_saturated_edges,jain_fairness,max_edge_util,mean_edge_util,mean_hops,mean_latency,mean_switch_util,offered_load,p50_flow_rate,p95_flow_rate,p95_switch_util,policy,rate,sum_edge_cap,sum_edge_load,switch_util_gini,switch_util_std,throughput,topk_edge_load_share,topology,traffic_weighted_util,workload
0.852,1.1405,0.3662,0.0903,0.8878,12.5249,0.3237,2.9983,3.9983,0.7536,3315705.4979,0.6095,0.9393,1.4593,rip_configuration,20,40960000.0,13256937.5348,0.3114,0.4156,490881.3883,0.0029,leaf_spine,0.3237,local_group_workload
0.9259,2.2809,0.7171,0.174,0.8818,25.0497,0.6473,2.9983,3.9983,1.5072,6631410.9957,0.6095,0.9393,2.9185,rip_configuration,40,40960000.0,26513875.0695,0.3114,0.8311,491261.7875,0.0029,leaf_spine,0.6473,local_group_workload
0.852,1.1405,0.3662,0.0903,0.8878,12.5249,0.3237,2.9983,3.9983,0.7536,3315705.4979,0.6095,0.9393,1.4593,ospf_configuration,20,40960000.0,13256937.5348,0.3114,0.4156,490881.3883,0.0029,leaf_spine,0.3237,local_group_workload
0.9259,2.2809,0.7171,0.174,0.8818,25.0497,0.6473,2.9983,3.9983,1.5072,6631410.9957,0.6095,0.9393,2.9185,ospf_configuration,40,40960000.0,26513875.0695,0.3114,0.8311,491261.7875,0.0029,leaf_spine,0.6473,local_group_workload
0.852,1.1405,0.3662,0.0903,0.8878,12.5249,0.3237,2.9983,3.9983,0.7536,3315705.4979,0.6095,0.9393,1.4593,eigrp_configuration,20,40960000.0,13256937.5348,0.3114,0.4156,490881.3883,0.0029,leaf_spine,0.3237,local_group_workload
0.9259,2.2809,0.7171,0.174,0.8818,25.0497,0.6473,2.9983,3.9983,1.5072,6631410.9957,0.6095,0.9393,2.9185,eigrp_configuration,40,40960000.0,26513875.0695,0.3114,0.8311,491261.7875,0.0029,leaf_spine,0.6473,local_group_workload
0.9476,1.5422,0.0064,0.0199,0.1628,65.9342,0.1557,4.8068,5.7793,0.157,662184.2172,0.0215,0.0358,0.1293,eigrp_ecmp_configuration,4,24576000.0,3827419.0028,0.9684,2.4136,34673.1575,0.0522,fat_tree,0.1557,incast
0.9701,16.2213,0.0476,0.1178,0.0309,659.3422,1.5574,4.8068,5.7793,1.57,6621842.1715,0.0215,0.0359,0.7553,eigrp_ecmp_configuration,40,24576000.0,38274190.0277,0.9698,24.1418,197787.424,0.0522,fat_tree,1.5574,incast
0.5376,0.7564,0.7832,0.749,0.8965,5.6035,1.5983,4.9334,5.9334,1.6133,6620088.3906,3.8676,5.8854,2.9057,eigrp_ecmp_configuration,40,24576000.0,39279324.0781,0.2771,0.7825,3060841.4812,0.0004,fat_tree,1.5983,random_workload
0.4423,0.0794,0.001,0.0005,0.5498,10.0806,0.0027,2.2771,3.2485,0.0045,20591.6892,0.0565,0.311,0.0025,eigrp_configuration,1,24576000.0,66967.3822,0.9895,0.0563,11484.7539,0.3158,informed_fat_tree,0.0027,incast
0.1563,0.3241,0.3661,0.0653,0.8371,2.3961,0.3237,2.9983,3.9983,0.7536,3315705.4979,3.5943,5.9365,1.4588,ospf_ecmp_configuration,20,40960000.0,13256937.5348,0.3098,0.4093,2797410.6794,0.0005,leaf_spine,0.3237,local_group_workload
0.5011,0.6483,0.717,0.1727,0.881,4.7922,0.6473,2.9983,3.9983,1.5072,6631410.9957,4.116,6.6334,2.9175,ospf_ecmp_configuration,40,40960000.0,26513875.0695,0.3098,0.8186,3308564.9406,0.0005,leaf_spine,0.6473,local_group_workload
